Gap Start,Gap End,Gap (min),Category
2019-01-02 15:14,2019-01-02 15:30,16,Settlement Window
2019-01-02 15:59,2019-01-02 17:00,61,Daily Maintenance
2019-01-03 15:14,2019-01-03 15:30,16,Settlement Window
2019-01-03 15:59,2019-01-03 17:00,61,Daily Maintenance
2019-01-04 15:14,2019-01-04 15:30,16,Settlement Window
2019-01-04 15:59,2019-01-06 17:00,2941,Weekend / Holiday
2019-01-07 15:14,2019-01-07 15:30,16,Settlement Window
2019-01-07 15:59,2019-01-07 17:00,61,Daily Maintenance
2019-01-08 15:14,2019-01-08 15:30,16,Settlement Window
2019-01-08 15:59,2019-01-08 17:00,61,Daily Maintenance
2019-01-09 15:14,2019-01-09 15:30,16,Settlement Window
2019-01-09 15:59,2019-01-09 17:00,61,Daily Maintenance
2019-01-10 15:14,2019-01-10 15:30,16,Settlement Window
2019-01-10 15:59,2019-01-10 17:00,61,Daily Maintenance
2019-01-11 15:14,2019-01-11 15:30,16,Settlement Window
2019-01-11 15:59,2019-01-13 17:00,2941,Weekend / Holiday
2019-01-14 15:14,2019-01-14 15:30,16,Settlement Window
2019-01-14 15:59,2019-01-14 17:00,61,Daily Maintenance
2019-01-15 15:14,2019-01-15 15:30,16,Settlement Window
2019-01-15 15:59,2019-01-15 17:00,61,Daily Maintenance
2019-01-16 15:14,2019-01-16 15:30,16,Settlement Window
2019-01-16 15:59,2019-01-16 17:00,61,Daily Maintenance
2019-01-17 15:14,2019-01-17 15:30,16,Settlement Window
2019-01-17 15:59,2019-01-17 17:00,61,Daily Maintenance
2019-01-18 15:14,2019-01-18 15:30,16,Settlement Window
2019-01-18 15:59,2019-01-20 17:00,2941,Weekend / Holiday
2019-01-21 11:59,2019-01-21 17:00,301,Holiday Early Close
2019-01-22 15:14,2019-01-22 15:30,16,Settlement Window
2019-01-22 15:59,2019-01-22 17:00,61,Daily Maintenance
2019-01-23 15:14,2019-01-23 15:30,16,Settlement Window
2019-01-23 15:59,2019-01-23 17:00,61,Daily Maintenance
2019-01-24 15:14,2019-01-24 15:30,16,Settlement Window
2019-01-24 15:59,2019-01-24 17:00,61,Daily Maintenance
2019-01-25 15:14,2019-01-25 15:30,16,Settlement Window
2019-01-25 15:59,2019-01-27 17:00,2941,Weekend / Holiday
2019-01-28 15:14,2019-01-28 15:30,16,Settlement Window
