entry_time,side,entry_fill_price,sl_price,tp_price,net_pnl_dollars,cumulative_net_pnl_dollars
2019-01-01 17:03:00,long,6369.25,6339.25,6429.25,430.5,430.5
2019-01-01 18:10:00,long,6376.5,6346.5,6436.5,-210.0,220.5
2019-01-01 18:17:00,long,6376.5,6346.5,6436.5,20.5,241.0
2019-01-01 18:55:00,long,6379.75,6349.75,6439.75,-348.5,-107.5
2019-01-01 19:11:00,long,6380.25,6350.25,6440.25,-225.5,-333.0
2019-01-01 20:58:00,long,6308.0,6278.0,6368.0,-328.0,-661.0
2019-01-01 21:23:00,long,6303.75,6273.75,6363.75,-205.0,-866.0
2019-01-01 21:35:00,long,6302.75,6272.75,6362.75,-120.0,-986.0
2019-01-01 21:56:00,long,6306.25,6276.25,6366.25,-400.0,-1386.0
2019-01-01 22:00:00,long,6304.0,6274.0,6364.0,-640.0,-2026.0
2019-01-01 22:27:00,long,6278.25,6248.25,6338.25,-58.5,-2084.5
2019-01-01 23:02:00,long,6278.0,6248.0,6338.0,-58.5,-2143.0
2019-01-01 23:21:00,long,6279.75,6249.75,6339.75,-39.0,-2182.0
2019-01-01 23:24:00,long,6280.75,6250.75,6340.75,-292.5,-2474.5
2019-01-02 00:14:00,long,6266.5,6236.5,6326.5,-214.5,-2689.0
2019-01-02 00:18:00,long,6268.5,6238.5,6328.5,175.5,-2513.5
2019-01-02 01:04:00,long,6273.5,6243.5,6333.5,-390.0,-2903.5
2019-01-02 01:37:00,long,6265.5,6235.5,6325.5,-604.5,-3508.0
2019-01-02 03:03:00,long,6177.0,6147.0,6237.0,-57.0,-3565.0
2019-01-02 03:53:00,long,6192.5,6162.5,6252.5,570.0,-2995.0
2019-01-02 04:54:00,long,6196.0,6166.0,6256.0,-760.5,-3755.5
2019-01-02 05:06:00,long,6193.0,6163.0,6253.0,247.0,-3508.5
2019-01-02 06:00:00,long,6197.75,6167.75,6257.75,836.0,-2672.5
2019-01-02 06:44:00,long,6216.75,6186.75,6276.75,-390.0,-3062.5
2019-01-02 07:16:00,long,6204.75,6174.75,6264.75,-780.0,-3842.5
2019-01-02 07:55:00,long,6193.25,6163.25,6253.25,-190.0,-4032.5
2019-01-02 07:59:00,long,6193.75,6163.75,6253.75,4560.0,527.5
2019-01-02 09:35:00,short,6280.5,6310.5,6220.5,-1890.0,-1362.5
2019-01-02 10:32:00,short,6339.0,6369.0,6279.0,-1100.0,-2462.5
2019-01-02 10:51:00,short,6337.75,6367.75,6277.75,390.0,-2072.5
2019-01-02 11:23:00,short,6325.5,6355.5,6265.5,-682.5,-2755.0
2019-01-02 13:03:00,short,6394.25,6424.25,6334.25,-58.5,-2813.5
2019-01-02 13:42:00,short,6381.5,6411.5,6321.5,-1111.5,-3925.0
2019-01-02 13:54:00,short,6389.75,6419.75,6329.75,3021.0,-904.0
2019-01-02 15:31:00,short,6352.0,6382.0,6292.0,4800.0,3896.0
2019-01-02 18:08:00,long,6223.25,6193.25,6283.25,242.0,4138.0
2019-01-02 18:47:00,long,6235.0,6205.0,6295.0,-607.5,3530.5
