trade_id,version,source_iteration,symbol,entry_time,exit_time,entry_date,day_of_week,time_of_day_hhmm,signal_bar_index,entry_bar_index,exit_bar_index,session_break_flag,side,entry_signal_price,entry_fill_price,exit_signal_price,exit_fill_price,slippage_entry_points,slippage_exit_points,slippage_total_points,spread_at_entry_points,exit_reason,sl_price,tp_price,stop_distance_points,target_distance_points,rr_planned,contracts,position_notional,risk_dollars,max_risk_allowed_dollars,risk_utilization,commission_dollars,fees_dollars,gross_pnl_dollars,net_pnl_dollars,r_multiple,hold_bars,hold_minutes,mae_points,mfe_points,mae_dollars,mfe_dollars,equity_before,equity_after,zscore_entry,zscore_prev,zscore_delta,z_band_k,ema_fast,ema_slow,ema_spread,close_price,open_price,high_price,low_price,bar_range_points,bar_body_points,volume,volume_zscore,atr_points,distance_to_ema_fast_points,distance_to_ema_slow_points,label_win,label_hit_tp_first,data_quality_flag,rule_violation_flag,mfe_mae_ratio,entry_score
1,V3,V3,MNQ,2019-01-01 22:25:00,2019-01-02 02:16:00,2019-01-01,1,2225,323,324,555,False,short,6281.5,6281.75,6221.75,6221.75,0.0,0.0,0.0,0.0,take_profit,6301.75,6221.75,20.0,60.0,3.0,62,778937.0,2480.0,2500.0,0.992,0.0,0.0,7440.0,7440.0,3.0,232,232,-5.0,64.25,-620.0,7967.0,50000.0,57440.0,1.9829208649911156,2.509265357913362,-0.5263444929222465,2.5,6276.809568586732,6277.6508990030725,-0.8413304163404973,6281.5,6282.25,6283.5,6280.25,3.25,0.75,103.0,-0.3259754868815872,3.892857142857143,4.690431413268016,3.8491009969275183,1,1,0,0,12.85,0.4068003749624982
2,V3,V3,MNQ,2019-01-02 07:50:00,2019-01-02 08:28:00,2019-01-02,2,0750,888,889,927,False,short,6192.25,6192.25,6212.25,6212.25,0.0,0.0,0.0,0.0,stop,6212.25,6132.25,20.0,60.0,3.0,71,879299.5,2840.0,2872.0,0.9888579387186629,0.0,0.0,-2840.0,-2840.0,-1.0,39,39,-22.5,2.75,-3195.0,390.5,57440.0,54600.0,0.5170542049718236,2.5421401511012856,-2.0250859461294617,2.5,6192.235087603174,6192.5262619788045,-0.2911743756303622,6192.25,6195.25,6196.0,6191.25,4.75,3.0,210.0,-0.11033253484106148,3.5,0.014912396825820906,-0.2762619788045413,0,0,0,0,0.12222222222222222,0.374151558254028
3,V3,V3,MNQ,2019-01-03 01:21:00,2019-01-03 02:17:00,2019-01-03,3,0121,1864,1865,1921,False,long,6216.25,6216.5,6196.5,6196.5,0.0,0.0,0.0,0.0,stop,6196.5,6276.5,20.0,60.0,3.0,68,845444.0,2720.0,2730.0,0.9963369963369964,0.0,0.0,-2720.0,-2720.0,-1.0,57,57,-20.0,10.0,-2720.0,1360.0,54600.0,51880.0,-2.236733769034165,-3.123837480726951,0.8871037116927862,2.5,6220.222078830367,6220.140478833485,0.08159999688177777,6216.25,6215.25,6217.25,6215.25,2.0,1.0,43.0,-0.9157088953569029,2.9107142857142856,-3.972078830366627,-3.890478833484849,0,0,0,0,0.5,0.4261519320108424
4,V3,V3,MNQ,2019-01-06 18:41:00,2019-01-06 19:30:00,2019-01-06,6,1841,4194,4195,4244,False,long,6484.75,6484.5,6464.5,6464.5,0.0,0.0,0.0,0.0,stop,6464.5,6544.5,20.0,60.0,3.0,64,830016.0,2560.0,2594.0,0.9868928296067849,0.0,0.0,-2560.0,-2560.0,-1.0,50,50,-20.25,6.75,-2592.0,864.0,51880.0,49320.0,-1.6624984402872636,-2.5990421466996807,0.9365437064124171,2.5,6486.8783541934845,6486.716309710113,0.16204448337157373,6484.75,6483.25,6484.75,6481.5,3.25,1.5,154.0,0.17059895778588643,2.8035714285714284,-2.1283541934844834,-1.9663097101129097,0,0,0,0,0.3333333333333333,0.41856926356057594
5,V3,V3,MNQ,2019-01-11 15:00:00,2019-01-13 17:00:00,2019-01-11,4,1500,10873,10874,10919,False,long,6613.25,6613.0,6593.0,6593.0,0.0,0.0,0.0,0.0,stop,6593.0,6673.0,20.0,60.0,3.0,61,806786.0,2440.0,2466.0,0.9894566098945661,0.0,0.0,-2440.0,-2440.0,-1.0,46,46,-22.75,2.5,-2775.5,305.0,49320.0,46880.0,0.40699406848135655,-2.9834399027512584,3.390433971232615,2.5,6612.467990736479,6611.8706299791065,0.5973607573723712,6613.25,6609.75,6613.25,6608.5,4.75,3.5,3991.0,3.866173180327536,2.6785714285714284,0.782009263521104,1.3793700208934752,0,0,0,0,0.10989010989010989,0.5619622581956621
6,V3,V3,MNQ,2019-01-15 13:52:00,2019-01-15 14:09:00,2019-01-15,1,1352,13535,13536,13553,False,short,6653.25,6653.5,6673.5,6673.5,0.0,0.0,0.0,0.0,stop,6673.5,6593.5,20.0,60.0,3.0,58,771806.0,2320.0,2344.0,0.9897610921501706,0.0,0.0,-2320.0,-2320.0,-1.0,18,18,-21.25,2.0,-2465.0,232.0,46880.0,44560.0,1.8418130950142662,2.659869056625597,-0.818055961611331,2.5,6649.415562094139,6649.484948138575,-0.06938604443621443,6653.25,6654.75,6656.5,6653.0,3.5,1.5,1116.0,0.23434205074520867,6.357142857142857,3.8344379058607956,3.765051861424581,0,0,0,0,0.09411764705882353,0.5343881395304214
7,V3,V3,MNQ,2019-01-16 17:52:00,2019-01-16 19:35:00,2019-01-16,2,1752,15065,15066,15169,False,long,6668.75,6669.25,6649.25,6649.25,0.0,0.0,0.0,0.0,stop,6649.25,6729.25,20.0,60.0,3.0,55,733617.5,2200.0,2228.0,0.9874326750448833,0.0,0.0,-2200.0,-2200.0,-1.0,104,104,-21.5,1.5,-2365.0,165.0,44560.0,42360.0,-2.069932829860774,-2.6397718161085533,0.5698389862477793,2.5,6671.495689551379,6671.4268880236605,0.06880152771827852,6668.75,6669.0,6670.5,6668.75,1.75,0.25,70.0,0.6981293844430788,1.6071428571428572,-2.745689551378746,-2.6768880236604673,0,0,0,0,0.06976744186046512,0.41822324188839105
8,V3,V3,MNQ,2019-01-20 20:01:00,2019-01-21 03:02:00,2019-01-20,6,2001,17924,17925,18346,False,long,6773.25,6773.5,6753.5,6753.5,0.0,0.0,0.0,0.0,stop,6753.5,6833.5,20.0,60.0,3.0,52,704444.0,2080.0,2118.0,0.9820585457979226,0.0,0.0,-2080.0,-2080.0,-1.0,422,422,-23.0,6.5,-2392.0,676.0,42360.0,40280.0,2.5383409615739976,-3.239969982198511,5.778310943772508,2.5,6770.218792083651,6769.703482479173,0.5153096044787162,6773.25,6767.25,6773.75,6767.25,6.5,6.0,263.0,3.7290074709274434,1.9107142857142858,3.0312079163486487,3.546517520827365,0,0,0,0,0.2826086956521739,0.7002277687945333
9,V3,V3,MNQ,2019-01-22 07:44:00,2019-01-22 10:58:00,2019-01-22,1,0744,19767,19768,19962,False,short,6742.75,6743.0,6683.0,6683.0,0.0,0.0,0.0,0.0,take_profit,6763.0,6683.0,20.0,60.0,3.0,50,674300.0,2000.0,2014.0,0.9930486593843099,0.0,0.0,6000.0,6000.0,3.0,195,195,-5.75,60.25,-575.0,6025.0,40280.0,46280.0,1.1918962450633932,2.574409875465939,-1.3825136304025458,2.5,6741.4356520179645,6741.497342935058,-0.061690917093983444,6742.75,6744.5,6744.5,6742.75,1.75,1.75,110.0,-0.3216899166990815,1.8035714285714286,1.3143479820355424,1.252657064941559,1,1,0,0,10.478260869565217,0.4955727653551446
10,V3,V3,MNQ,2019-01-23 19:32:00,2019-01-23 20:02:00,2019-01-23,2,1932,21765,21766,21796,False,long,6684.25,6684.25,6664.25,6664.25,0.0,0.0,0.0,0.0,stop,6664.25,6744.25,20.0,60.0,3.0,57,762004.5,2280.0,2314.0,0.9853068280034573,0.0,0.0,-2280.0,-2280.0,-1.0,31,31,-20.5,4.25,-2337.0,484.5,46280.0,44000.0,-0.3333333333331986,-3.3305048676152054,2.997171534282007,2.5,6684.114850756667,6683.84674461101,0.2681061456569296,6684.25,6680.25,6684.25,6679.5,4.75,4.0,215.0,1.2335333085756812,2.1964285714285716,0.13514924333321687,0.40325538899014646,0,0,0,0,0.2073170731707317,0.41915529721996003
